"","siteID","HOR.VER","name","description","start","end","referenceName","referenceDescription","referenceStart","referenceEnd","xOffset","yOffset","zOffset","pitch","roll","azimuth","referenceLatitude","referenceLongitude","referenceElevation","publicationDate"
"1","HEAL","001.501","CFGLOC102223","Healy Soil Temp Profile SP1, Z1 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,-0.03,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"2","HEAL","001.501","CFGLOC102223","Healy Soil Temp Profile SP1, Z1 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,0.24,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"3","HEAL","001.502","CFGLOC102225","Healy Soil Temp Profile SP1, Z2 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,-0.07,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"4","HEAL","001.502","CFGLOC102225","Healy Soil Temp Profile SP1, Z2 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,0.2,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"5","HEAL","001.503","CFGLOC102227","Healy Soil Temp Profile SP1, Z3 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,-0.17,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"6","HEAL","001.503","CFGLOC102227","Healy Soil Temp Profile SP1, Z3 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,0.1,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"7","HEAL","001.504","CFGLOC102229","Healy Soil Temp Profile SP1, Z4 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,-0.27,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"8","HEAL","001.504","CFGLOC102229","Healy Soil Temp Profile SP1, Z4 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,0,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"9","HEAL","001.505","CFGLOC102231","Healy Soil Temp Profile SP1, Z5 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,-0.37,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"10","HEAL","001.505","CFGLOC102231","Healy Soil Temp Profile SP1, Z5 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,-0.1,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"11","HEAL","001.506","CFGLOC102233","Healy Soil Temp Profile SP1, Z6 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,-0.47,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"12","HEAL","001.506","CFGLOC102233","Healy Soil Temp Profile SP1, Z6 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,-0.2,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"13","HEAL","001.507","CFGLOC102235","Healy Soil Temp Profile SP1, Z7 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,-0.67,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"14","HEAL","001.507","CFGLOC102235","Healy Soil Temp Profile SP1, Z7 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,-0.4,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"15","HEAL","001.508","CFGLOC102237","Healy Soil Temp Profile SP1, Z8 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,-0.97,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"16","HEAL","001.508","CFGLOC102237","Healy Soil Temp Profile SP1, Z8 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,-0.7,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"17","HEAL","001.509","CFGLOC102239","Healy Soil Temp Profile SP1, Z9 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,-1.57,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"18","HEAL","001.509","CFGLOC102239","Healy Soil Temp Profile SP1, Z9 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102212","Healy Soil Plot, SP1","2010-01-01T00:00:00Z",NA,2.67,0.19,-1.3,1,0,260,63.875538,-149.213615,679.1,"20200819T214703Z"
"19","HEAL","002.501","CFGLOC102250","Healy Soil Temp Profile SP2, Z1 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-0.02,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"20","HEAL","002.501","CFGLOC102250","Healy Soil Temp Profile SP2, Z1 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,0.21,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"21","HEAL","002.502","CFGLOC102252","Healy Soil Temp Profile SP2, Z2 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-0.06,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"22","HEAL","002.502","CFGLOC102252","Healy Soil Temp Profile SP2, Z2 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,0.17,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"23","HEAL","002.503","CFGLOC102254","Healy Soil Temp Profile SP2, Z3 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-0.16,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"24","HEAL","002.503","CFGLOC102254","Healy Soil Temp Profile SP2, Z3 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,0.07,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"25","HEAL","002.504","CFGLOC102256","Healy Soil Temp Profile SP2, Z4 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-0.26,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"26","HEAL","002.504","CFGLOC102256","Healy Soil Temp Profile SP2, Z4 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-0.03,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"27","HEAL","002.505","CFGLOC102258","Healy Soil Temp Profile SP2, Z5 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-0.36,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"28","HEAL","002.505","CFGLOC102258","Healy Soil Temp Profile SP2, Z5 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-0.13,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"29","HEAL","002.506","CFGLOC102260","Healy Soil Temp Profile SP2, Z6 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-0.46,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"30","HEAL","002.506","CFGLOC102260","Healy Soil Temp Profile SP2, Z6 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-0.23,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"31","HEAL","002.507","CFGLOC102262","Healy Soil Temp Profile SP2, Z7 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-0.66,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"32","HEAL","002.507","CFGLOC102262","Healy Soil Temp Profile SP2, Z7 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-0.43,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"33","HEAL","002.508","CFGLOC102264","Healy Soil Temp Profile SP2, Z8 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-0.96,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"34","HEAL","002.508","CFGLOC102264","Healy Soil Temp Profile SP2, Z8 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-0.73,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"35","HEAL","002.509","CFGLOC102266","Healy Soil Temp Profile SP2, Z9 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-1.36,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"36","HEAL","002.509","CFGLOC102266","Healy Soil Temp Profile SP2, Z9 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102241","Healy Soil Plot, SP2","2010-01-01T00:00:00Z",NA,3.22,0.11,-1.13,0.5,0,330,63.875256,-149.214271,680.4,"20200819T214703Z"
"37","HEAL","003.501","CFGLOC102280","Healy Soil Temp Profile SP3, Z1 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,-0.02,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
"38","HEAL","003.501","CFGLOC102280","Healy Soil Temp Profile SP3, Z1 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,0.21,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
"39","HEAL","003.502","CFGLOC102282","Healy Soil Temp Profile SP3, Z2 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,-0.06,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
"40","HEAL","003.502","CFGLOC102282","Healy Soil Temp Profile SP3, Z2 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,0.17,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
"41","HEAL","003.503","CFGLOC102284","Healy Soil Temp Profile SP3, Z3 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,-0.16,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
"42","HEAL","003.503","CFGLOC102284","Healy Soil Temp Profile SP3, Z3 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,0.07,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
"43","HEAL","003.504","CFGLOC102286","Healy Soil Temp Profile SP3, Z4 Depth","2010-01-01T00:00:00Z",2018-12-31 23:59:59,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,-0.26,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
"44","HEAL","003.504","CFGLOC102286","Healy Soil Temp Profile SP3, Z4 Depth","2019-01-01T00:00:00Z",NA,"SOILPL102268","Healy Soil Plot, SP3","2010-01-01T00:00:00Z",NA,3.18,0.15,-0.03,0.6,0,75,63.874974,-149.214926,682,"20200819T214703Z"
